date,equity,daily_return,cumulative_return
2023-12-01,984795.1,2.4371145741380916e-05,-0.015204900000000077
2023-12-04,981855.1,-0.0029853925958811126,-0.01814490000000002
2023-12-05,973589.1,-0.008418757513201286,-0.026410900000000015
2023-12-06,979527.1,0.006099082251434409,-0.020472900000000016
2023-12-07,979513.7,-1.3680070719863987e-05,-0.02048630000000007
2023-12-08,975001.7,-0.004606367424978334,-0.02499830000000003
2023-12-11,978737.7,0.003831788190728283,-0.021262300000000067
2023-12-12,979559.7,0.0008398572978235129,-0.020440300000000078
2023-12-13,972947.7,-0.006749971441250595,-0.02705230000000003
2023-12-14,970039.7,-0.002988855413297138,-0.02996030000000005
2023-12-15,970967.7,0.0009566618768283401,-0.02903230000000001
2023-12-18,973239.7,0.0023399336558775335,-0.02676030000000007
2023-12-19,972755.7,-0.0004973081143319575,-0.0272443
2023-12-20,968011.7,-0.004876866822779861,-0.03198830000000008
2023-12-21,975932.7,0.008182752336567832,-0.024067300000000014
2023-12-22,979057.7,0.0032020650604288594,-0.02094230000000008
2023-12-25,977408.7,-0.0016842725408318631,-0.022591300000000092
2023-12-26,974326.7,-0.0031532356935230882,-0.02567330000000001
2023-12-27,980878.7,0.00672464379760916,-0.019121300000000008
2023-12-28,985456.7,0.0046672437682661475,-0.014543300000000037
2023-12-29,985194.7,-0.00026586657739502916,-0.014805300000000021
2024-01-02,985000.7,-0.00019691539144496009,-0.014999300000000049
2024-01-03,981124.7,-0.003935022584247909,-0.01887530000000004
2024-01-04,981199.7,7.644288233697511e-05,-0.018800299999999992
2024-01-05,988033.7,0.006964943018225546,-0.011966300000000096
2024-01-08,985844.7,-0.002215511474962848,-0.014155300000000093
2024-01-09,988391.7,0.002583571225772173,-0.011608300000000016
2024-01-10,987900.7,-0.0004967666159074384,-0.012099300000000035
2024-01-11,989681.7,0.0018028127725792683,-0.010318300000000002
2024-01-12,990895.7,0.0012266570150786865,-0.009104300000000065
2024-01-15,993371.7,0.002498749363833146,-0.006628300000000031
2024-01-16,998232.7,0.004893435156246147,-0.0017673000000000272
2024-01-17,995500.7,-0.002736836811697313,-0.004499300000000095
2024-01-18,999981.7,0.004501252485307142,-1.8300000000026628e-05
2024-01-19,1000930.7,0.0009490173670178164,0.000930700000000062
2024-01-22,1000741.7,-0.0001888242612600453,0.0007416999999998453
2024-01-23,995019.7,-0.005717759138047311,-0.004980300000000049
2024-01-24,999000.7,0.004000925810815605,-0.0009993000000000363
2024-01-25,1013114.7,0.014128118228545787,0.013114700000000035
2024-01-26,1013653.7,0.000532022682130661,0.01365369999999988
2024-01-29,1014373.7,0.0007103017529556693,0.014373699999999934
2024-01-30,1007419.7,-0.006855461650868906,0.007419700000000029
2024-01-31,1003531.7,-0.0038593646719435803,0.0035316999999999155
2024-02-01,1002917.7,-0.0006118391676117456,0.002917700000000023
2024-02-02,990008.7,-0.012871444984967362,-0.009991300000000036
2024-02-05,1001437.7,0.011544342994157526,0.0014376999999998752
2024-02-06,1020468.7,0.01900367841154772,0.020468699999999895
2024-02-07,1024282.7,0.003737498269177683,0.02428269999999988
2024-02-08,1024300.7,1.7573273472255267e-05,0.024300699999999953
2024-02-19,1025279.7,0.0009557740222182803,0.025279700000000016
2024-02-20,1026812.7,0.001495201748361935,0.026812700000000023
