symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
sz.002371,2024-10-22,2024-11-08,288.52,331.47,500,21257.87,0.1488,17,take_profit
sz.000792,2024-10-31,2024-11-12,17.62,20.24,8500,22066.58,0.1489,12,take_profit
sz.002371,2024-11-11,2024-11-15,338.78,321.52,400,-7071.47,-0.051,4,stop_loss
sz.002475,2024-11-13,2024-11-18,40.68,38.61,3600,-7642.93,-0.051,5,stop_loss
sz.000786,2024-10-31,2024-11-19,29.77,28.26,5000,-7768.67,-0.051,19,stop_loss
sh.600188,2024-11-05,2024-11-25,14.66,13.91,10200,-7802.19,-0.051,20,stop_loss
sh.601985,2024-11-06,2024-11-25,9.85,9.34,15200,-7809.44,-0.051,19,stop_loss
sz.002371,2024-11-18,2024-11-27,311.65,295.77,400,-6505.29,-0.0509,9,stop_loss
sz.300418,2024-11-20,2024-11-29,41.04,47.15,3600,21771.57,0.1488,9,take_profit
sh.600015,2024-11-19,2024-12-09,6.97,7.31,21500,7137.84,0.049,20,timeout
sz.002371,2024-12-02,2024-12-11,304.75,289.22,400,-6361.24,-0.051,9,stop_loss
sh.601985,2024-11-26,2024-12-16,9.27,9.78,16200,8066.21,0.0551,20,timeout
sz.000786,2024-11-26,2024-12-16,27.55,27.71,5400,659.23,0.0057,20,timeout
sh.600188,2024-11-28,2024-12-18,14.01,13.74,10700,-3118.61,-0.0195,20,timeout
sz.002475,2024-12-12,2024-12-19,41.07,38.98,3600,-7715.63,-0.051,7,stop_loss
sz.300418,2024-12-17,2024-12-24,43.54,41.32,3400,-7725.7,-0.0509,7,stop_loss
sh.603986,2024-12-20,2024-12-24,110.34,104.72,1300,-7485.24,-0.051,4,stop_loss
sz.300803,2024-12-17,2024-12-27,65.53,75.29,2200,21245.08,0.1489,10,take_profit
sh.600015,2024-12-10,2024-12-30,7.42,7.58,20200,2902.4,0.0207,20,timeout
sh.601985,2024-12-19,2024-12-31,9.8,10.22,15300,6243.01,0.043,12,backtest_end
sz.002475,2024-12-25,2024-12-31,41.08,40.36,3600,-2766.06,-0.0174,6,backtest_end
sz.000786,2024-12-25,2024-12-31,29.32,29.37,5100,50.09,0.0016,6,backtest_end
sh.600188,2024-12-30,2024-12-31,13.25,13.39,11300,1318.87,0.0101,1,backtest_end
sh.600015,2024-12-31,2024-12-31,7.59,7.49,19700,-2149.06,-0.0131,0,backtest_end
