date,total_value,cash,positions_value
2024-09-09,1021608.0791205905,570208.0791205905,451400.0
2024-09-10,1020382.0791205905,570208.0791205905,450174.0
2024-09-11,1029630.0791205905,570208.0791205905,459422.0
2024-09-12,1026464.0791205905,570208.0791205905,456256.0
2024-09-13,1024888.0791205905,570208.0791205905,454680.0
2024-09-18,1027686.1531565905,574422.1531565905,453264.0
2024-09-19,1030254.7945424905,449942.7945424905,580312.0
2024-09-20,1032431.7945424905,449942.7945424905,582489.0
2024-09-23,1030970.5206873905,453051.52068739047,577919.0
2024-09-24,1048175.2766721905,303473.27667219046,744702.0
2024-09-25,1066755.2766721905,303473.27667219046,763282.0
2024-09-26,1098472.1175932193,328687.1175932192,769785.0
2024-09-27,1109026.1617401617,373016.16174016177,736010.0
2024-09-30,1134873.0217944875,406551.02179448743,728322.0
2024-10-08,1180103.5965795987,561162.5965795988,618941.0
2024-10-09,1130750.6761665489,404448.67616654886,726302.0
2024-10-10,1132382.6761665489,404448.67616654886,727934.0
2024-10-11,1112037.4106346765,542290.4106346766,569747.0
2024-10-14,1125371.7181697767,409615.71816977666,715756.0
2024-10-15,1102199.7181697767,409615.71816977666,692584.0
2024-10-16,1102161.8914501106,380813.89145011065,721348.0
2024-10-17,1090469.4060831715,514089.4060831715,576380.0
2024-10-18,1102427.3753171714,364675.3753171715,737752.0
2024-10-21,1110863.3753171714,364675.3753171715,746188.0
2024-10-22,1124845.3753171714,364675.3753171715,760170.0
2024-10-23,1140738.3783372552,396874.37833725533,743864.0
2024-10-24,1128225.1367152552,547587.1367152553,580638.0
2024-10-25,1132675.1367152552,547587.1367152553,585088.0
2024-10-28,1145233.1367152552,547587.1367152553,597646.0
2024-10-29,1136958.3670392553,572572.3670392553,564386.0
2024-10-30,1129782.3670392553,572572.3670392553,557210.0
2024-10-31,1121071.3412330553,721455.3412330553,399616.0
2024-11-01,1120916.2229790553,720342.2229790553,400574.0
2024-11-04,1128840.7383390553,571348.7383390553,557492.0
2024-11-05,1138543.3016715553,423932.3016715554,714611.0
2024-11-06,1128951.3016715553,423932.3016715554,705019.0
2024-11-07,1163522.5134215555,429586.5134215554,733936.0
2024-11-08,1149296.5134215555,429586.5134215554,719710.0
2024-11-11,1161996.5134215555,429586.5134215554,732410.0
2024-11-12,1148991.5134215555,429586.5134215554,719405.0
2024-11-13,1164699.1453179554,549538.1453179554,615161.0
2024-11-14,1155422.1453179554,549538.1453179554,605884.0
2024-11-15,1150258.1453179554,549538.1453179554,600720.0
2024-11-18,1129922.0151909555,400618.0151909555,729304.0
2024-11-19,1121951.1844974128,537446.1844974128,584505.0
2024-11-20,1123788.5107955127,378568.5107955128,745220.0
2024-11-21,1125731.5107955127,378568.5107955128,747163.0
2024-11-22,1104699.5107955127,378568.5107955128,726131.0
2024-11-25,1099211.5107955127,378568.5107955128,720643.0
2024-11-26,1095555.5107955127,378568.5107955128,716987.0
2024-11-27,1107645.5107955127,378568.5107955128,729077.0
2024-11-28,1100749.5107955127,378568.5107955128,722181.0
2024-11-29,1114955.5107955127,378568.5107955128,736387.0
2024-12-02,1119443.5107955127,378568.5107955128,740875.0
2024-12-03,1116356.6820915127,675803.6820915128,440553.0
2024-12-04,1113143.3104323128,817892.3104323128,295251.0
2024-12-05,1112826.6689199128,969186.6689199128,143640.0
2024-12-06,1114473.1010607127,820129.1010607127,294344.0
2024-12-09,1117009.1010607127,820129.1010607127,296880.0
2024-12-10,1124263.2625127127,384403.26251271274,739860.0
2024-12-11,1120345.2625127127,384403.26251271274,735942.0
2024-12-12,1126888.2625127127,384403.26251271274,742485.0
2024-12-13,1104812.2625127127,384403.26251271274,720409.0
2024-12-16,1105566.2625127127,384403.26251271274,721163.0
2024-12-17,1106086.2625127127,384403.26251271274,721683.0
2024-12-18,1112227.2625127127,384403.26251271274,727824.0
2024-12-19,1111446.2625127127,384403.26251271274,727043.0
2024-12-20,1107646.1808827128,528970.1808827127,578676.0
2024-12-23,1109119.0448699128,678769.0448699127,430350.0
2024-12-24,1117818.0448699128,678769.0448699127,439049.0
2024-12-25,1115600.0167190128,970070.0167190128,145530.0
2024-12-26,1113228.5536990128,826483.5536990127,286745.0
2024-12-27,1113452.5536990128,826483.5536990127,286969.0
2024-12-30,1114596.3189499127,530602.3189499127,583994.0
2024-12-31,1105747.3189499127,530602.3189499127,575145.0
